Part_Number,web,the
shelf114,https://www.webstaurantstore.com/regency-24-x-54-nsf-green-epoxy-wire-shelf/460EG2454.html,https://www.therestaurantstore.com/items/34139
shelf115,https://www.webstaurantstore.com/regency-24-x-60-nsf-black-epoxy-wire-shelf/460EB2460.html,https://www.therestaurantstore.com/items/103494
shelf116,https://www.webstaurantstore.com/regency-24-x-60-nsf-chrome-wire-shelf/460EC2460.html,https://www.therestaurantstore.com/items/7099
shelf117,https://www.webstaurantstore.com/regency-24-x-60-nsf-green-epoxy-wire-shelf/460EG2460.html,https://www.therestaurantstore.com/items/60209
shelf118,https://www.webstaurantstore.com/regency-24-x-72-nsf-black-epoxy-wire-shelf/460EB2472.html,https://www.therestaurantstore.com/items/103480
shelf119,https://www.webstaurantstore.com/regency-24-x-72-nsf-chrome-wire-shelf/460EC2472.html,https://www.therestaurantstore.com/items/40012
shelf120,https://www.webstaurantstore.com/regency-24-x-72-nsf-green-epoxy-wire-shelf/460EG2472.html,https://www.therestaurantstore.com/items/37443
shelf121,https://www.webstaurantstore.com/regency-30-x-36-nsf-black-epoxy-wire-shelf/460EB3036.html,https://www.therestaurantstore.com/items/524420
shelf122,https://www.webstaurantstore.com/regency-30-x-36-chrome-wire-shelf/460EC3036.html,https://www.therestaurantstore.com/items/436220
shelf123,https://www.webstaurantstore.com/regency-30-x-36-green-epoxy-wire-shelf/460EG3036.html,https://www.therestaurantstore.com/items/436109
shelf124,https://www.webstaurantstore.com/regency-30-x-42-nsf-black-epoxy-wire-shelf/460EB3042.html,https://www.therestaurantstore.com/items/754133
shelf125,https://www.webstaurantstore.com/regency-30-x-42-nsf-chrome-wire-shelf/460EC3042.html,https://www.therestaurantstore.com/items/754049
shelf126,https://www.webstaurantstore.com/regency-30-x-42-nsf-green-epoxy-wire-shelf/460EG3042.html,https://www.therestaurantstore.com/items/754220
shelf127,https://www.webstaurantstore.com/regency-30-x-48-nsf-black-epoxy-wire-shelf/460EB3048.html,https://www.therestaurantstore.com/items/524246
shelf128,https://www.webstaurantstore.com/regency-30-x-48-chrome-wire-shelf/460EC3048.html,https://www.therestaurantstore.com/items/436259
shelf129,https://www.webstaurantstore.com/regency-30-x-48-green-epoxy-wire-shelf/460EG3048.html,https://www.therestaurantstore.com/items/436212
shelf130,https://www.webstaurantstore.com/regency-30-x-54-nsf-green-epoxy-wire-shelf/460EG3054.html,https://www.therestaurantstore.com/items/754164
shelf131,https://www.webstaurantstore.com/regency-30-x-54-nsf-chrome-wire-shelf/460EC3054.html,https://www.therestaurantstore.com/items/753975
shelf132,https://www.webstaurantstore.com/regency-30-x-54-nsf-green-epoxy-wire-shelf/460EG3054.html,https://www.therestaurantstore.com/items/754164
shelf133,https://www.webstaurantstore.com/regency-30-x-60-nsf-black-epoxy-wire-shelf/460EB3060.html,https://www.therestaurantstore.com/items/524462
shelf134,https://www.webstaurantstore.com/regency-30-x-60-chrome-wire-shelf/460EC3060.html,https://www.therestaurantstore.com/items/436228
shelf135,https://www.webstaurantstore.com/regency-30-x-60-green-epoxy-wire-shelf/460EG3060.html,https://www.therestaurantstore.com/items/436089
shelf136,https://www.webstaurantstore.com/regency-30-x-72-nsf-black-epoxy-wire-shelf/460EB3072.html,https://www.therestaurantstore.com/items/524292
shelf137,https://www.webstaurantstore.com/regency-30-x-72-chrome-wire-shelf/460EC3072.html,https://www.therestaurantstore.com/items/436150
shelf138,https://www.webstaurantstore.com/regency-30-x-72-green-epoxy-wire-shelf/460EG3072.html,https://www.therestaurantstore.com/items/436174
